Date, Price 
5-Nov-96,6087.33
6-Nov-96,6044.79
7-Nov-96,5964.49
8-Nov-96,5961.14
11-Nov-96,5892.79
12-Nov-96,5927.21
13-Nov-96,5922.91
14-Nov-96,5990.30
15-Nov-96,6031.88
18-Nov-96,6128.91
19-Nov-96,6071.55
20-Nov-96,6035.71
21-Nov-96,5943.94
22-Nov-96,5888.49
25-Nov-96,5848.34
26-Nov-96,5894.71
27-Nov-96,5930.55
28-Nov-96,5907.61
29-Nov-96,5920.99
30-Nov-96,5920.99
2-Dec-96,5912.39
3-Dec-96,5904.27
4-Dec-96,5912.39
5-Dec-96,5914.78
6-Dec-96,5786.69
9-Dec-96,5810.11
10-Dec-96,5857.90
11-Dec-96,5823.97
12-Dec-96,5788.60
13-Dec-96,5662.42
17-Dec-96,5547.71
18-Dec-96,5584.99
19-Dec-96,5637.08
20-Dec-96,5712.12
23-Dec-96,5727.42
24-Dec-96,5740.32
27-Dec-96,5757.53
30-Dec-96,5797.68
31-Dec-96,5800.07
2-Jan-97,5766.61
3-Jan-97,5758.97
6-Jan-97,5735.07
7-Jan-97,5774.74
8-Jan-97,5813.45
9-Jan-97,5814.41
10-Jan-97,5829.70
13-Jan-97,5922.91
14-Jan-97,5913.35
15-Jan-97,5917.65
16-Jan-97,5950.63
17-Jan-97,5951.11
20-Jan-97,5951.11
21-Jan-97,5907.61
22-Jan-97,5940.59
23-Jan-97,5901.88
24-Jan-97,5852.65
27-Jan-97,5846.91
28-Jan-97,5901.88
29-Jan-97,5845.00
30-Jan-97,5806.76
31-Jan-97,5827.31
3-Feb-97,5851.69
4-Feb-97,5899.49
5-Feb-97,5937.25
6-Feb-97,5984.56
7-Feb-97,6007.98
10-Feb-97,6092.58
11-Feb-97,6112.66
12-Feb-97,6107.88
13-Feb-97,6170.01
14-Feb-97,6155.67
17-Feb-97,6183.40
18-Feb-97,6242.18
19-Feb-97,6246.01
20-Feb-97,6241.71
21-Feb-97,6255.09
24-Feb-97,6278.03
25-Feb-97,6311.97
26-Feb-97,6297.63
27-Feb-97,6275.16
28-Feb-97,6225.93
3-Mar-97,6247.44
4-Mar-97,6227.85
5-Mar-97,6159.02
6-Mar-97,6175.75
7-Mar-97,6141.81
10-Mar-97,6185.31
11-Mar-97,6250.79
12-Mar-97,6243.14
13-Mar-97,6241.71
14-Mar-97,6192.95
17-Mar-97,6168.58
18-Mar-97,6140.86
19-Mar-97,6152.33
20-Mar-97,6148.98
24-Mar-97,6138.95
25-Mar-97,6131.30
26-Mar-97,6099.75
27-Mar-97,6132.73
31-Mar-97,6132.73
1-Apr-97,6004.16
2-Apr-97,6024.23
3-Apr-97,6037.62
4-Apr-97,6086.85
7-Apr-97,6152.81
8-Apr-97,6111.22
9-Apr-97,6125.08
10-Apr-97,6127.00
11-Apr-97,6118.39
14-Apr-97,6077.77
15-Apr-97,6120.78
16-Apr-97,6105.01
17-Apr-97,6112.66
18-Apr-97,6171.45
21-Apr-97,6171.45
22-Apr-97,6202.04
23-Apr-97,6208.73
24-Apr-97,6216.85
25-Apr-97,6195.34
29-Apr-97,6240.75
30-Apr-97,6266.08
2-May-97,6288.55
5-May-97,6333.00
6-May-97,6348.29
7-May-97,6290.46
8-May-97,6292.85
9-May-97,6302.41
12-May-97,6301.93
13-May-97,6296.19
14-May-97,6306.23
15-May-97,6249.83
16-May-97,6225.93
19-May-97,6212.55
20-May-97,6208.25
21-May-97,6221.63
22-May-97,6180.53
23-May-97,6146.11
26-May-97,6147.55
27-May-97,6136.56
28-May-97,6083.98
29-May-97,6124.61
30-May-97,6059.60
31-May-97,6059.60
2-Jun-97,6108.83
3-Jun-97,6160.45
4-Jun-97,6229.76
5-Jun-97,6254.61
6-Jun-97,6285.68
9-Jun-97,6303.84
10-Jun-97,6269.43
11-Jun-97,6297.15
12-Jun-97,6299.54
13-Jun-97,6280.42
17-Jun-97,6190.09
18-Jun-97,6234.54
19-Jun-97,6233.58
20-Jun-97,6228.32
23-Jun-97,6252.70
24-Jun-97,6300.02
25-Jun-97,6312.92
26-Jun-97,6364.54
27-Jun-97,6380.32
30-Jun-97,6389.40
1-Jul-97,6406.13
2-Jul-97,6404.69
3-Jul-97,6388.92
4-Jul-97,6360.24
7-Jul-97,6276.60
8-Jul-97,6289.03
9-Jul-97,6275.16
10-Jul-97,6308.62
11-Jul-97,6317.22
14-Jul-97,6333.95
15-Jul-97,6340.65
16-Jul-97,6371.23
17-Jul-97,6384.62
18-Jul-97,6355.94
21-Jul-97,6345.42
22-Jul-97,6347.34
23-Jul-97,6364.07
24-Jul-97,6342.56
25-Jul-97,6356.42
28-Jul-97,6391.31
29-Jul-97,6352.12
30-Jul-97,6347.34
31-Jul-97,6366.46
1-Aug-97,6342.08
4-Aug-97,6318.18
5-Aug-97,6361.20
6-Aug-97,6416.64
7-Aug-97,6484.03
8-Aug-97,6442.45
11-Aug-97,6439.11
12-Aug-97,6412.82
13-Aug-97,6363.59
14-Aug-97,6341.12
15-Aug-97,6241.23
18-Aug-97,6197.73
19-Aug-97,6218.76
20-Aug-97,6250.79
21-Aug-97,6278.51
22-Aug-97,6168.58
25-Aug-97,6215.42
26-Aug-97,6187.70
27-Aug-97,6198.69
28-Aug-97,6197.26
29-Aug-97,6129.39
31-Aug-97,6129.39
1-Sep-97,6095.93
2-Sep-97,6106.92
3-Sep-97,6148.03
4-Sep-97,6167.14
5-Sep-97,6234.54
8-Sep-97,6228.80
9-Sep-97,6188.65
10-Sep-97,6142.77
11-Sep-97,6019.45
12-Sep-97,6015.63
15-Sep-97,6018.50
16-Sep-97,5989.34
17-Sep-97,6040.48
18-Sep-97,6039.05
19-Sep-97,6025.67
22-Sep-97,6022.80
23-Sep-97,5928.64
25-Sep-97,5986.00
26-Sep-97,5998.42
29-Sep-97,5962.10
30-Sep-97,5985.04
1-Oct-97,5982.17
2-Oct-97,6032.84
3-Oct-97,6074.42
6-Oct-97,6094.49
7-Oct-97,6129.86
8-Oct-97,6158.54
9-Oct-97,6105.01
10-Oct-97,6090.67
13-Oct-97,6147.55
14-Oct-97,6138.95
15-Oct-97,6106.44
16-Oct-97,6167.62
17-Oct-97,6094.97
20-Oct-97,6124.61
21-Oct-97,6209.68
22-Oct-97,6219.72
23-Oct-97,5892.32
24-Oct-97,5953.50
27-Oct-97,5534.32
28-Oct-97,4797.78
29-Oct-97,5220.30
30-Oct-97,5104.64
31-Oct-97,5427.74
3-Nov-97,5575.91
4-Nov-97,5601.24
5-Nov-97,5630.87
6-Nov-97,5583.55
7-Nov-97,5345.05
10-Nov-97,5432.52
11-Nov-97,5465.50
12-Nov-97,5337.88
13-Nov-97,5308.72
14-Nov-97,5167.25
17-Nov-97,5228.43
18-Nov-97,5236.55
19-Nov-97,5208.83
20-Nov-97,5238.94
21-Nov-97,5204.05
24-Nov-97,5205.96
25-Nov-97,5216.00
26-Nov-97,5176.33
27-Nov-97,5225.56
28-Nov-97,5177.76
30-Nov-97,5177.76
1-Dec-97,5187.80
2-Dec-97,5198.79
3-Dec-97,5170.12
4-Dec-97,5146.70
5-Dec-97,5046.32
8-Dec-97,5043.93
9-Dec-97,5061.14
10-Dec-97,5004.26
11-Dec-97,4855.62
12-Dec-97,4864.70
15-Dec-97,4995.18
17-Dec-97,5103.20
18-Dec-97,5100.33
19-Dec-97,4975.59
22-Dec-97,4962.68
23-Dec-97,5016.21
24-Dec-97,4990.40
29-Dec-97,5017.65
30-Dec-97,5065.92
31-Dec-97,5072.13
5-Jan-98,5079.78
6-Jan-98,5056.84
7-Jan-98,4973.20
8-Jan-98,4951.21
9-Jan-98,4883.82
12-Jan-98,4504.79
13-Jan-98,4587.48
14-Jan-98,4694.54
15-Jan-98,4707.45
16-Jan-98,4752.86
19-Jan-98,4828.85
20-Jan-98,4903.89
21-Jan-98,4960.77
22-Jan-98,4959.81
23-Jan-98,4956.94
26-Jan-98,4999.01
27-Jan-98,5028.64
28-Jan-98,5212.18
29-Jan-98,5410.53
30-Jan-98,5462.63
31-Jan-98,5462.63
2-Feb-98,5554.40
3-Feb-98,5479.84
4-Feb-98,5406.23
5-Feb-98,5487.96
6-Feb-98,5496.09
9-Feb-98,5512.34
10-Feb-98,5488.92
11-Feb-98,5473.14
12-Feb-98,5397.15
13-Feb-98,5420.57
16-Feb-98,5457.85
17-Feb-98,5514.25
18-Feb-98,5545.32
19-Feb-98,5540.06
20-Feb-98,5541.01
23-Feb-98,5550.57
24-Feb-98,5511.38
25-Feb-98,5595.50
26-Feb-98,5699.70
27-Feb-98,5766.61
28-Feb-98,5766.61
2-Mar-98,5828.75
3-Mar-98,5795.77
4-Mar-98,5722.16
5-Mar-98,5538.15
6-Mar-98,5604.11
9-Mar-98,5682.01
10-Mar-98,5762.79
11-Mar-98,5903.31
12-Mar-98,5924.34
13-Mar-98,5949.67
16-Mar-98,6029.97
17-Mar-98,6025.19
18-Mar-98,5944.41
19-Mar-98,5981.22
20-Mar-98,5909.05
23-Mar-98,5872.72
24-Mar-98,5929.12
25-Mar-98,6002.73
26-Mar-98,6031.88
27-Mar-98,6154.72
30-Mar-98,6178.14
31-Mar-98,6230.71
1-Apr-98,6395.13
2-Apr-98,6481.17
3-Apr-98,6495.03
6-Apr-98,6558.12
7-Apr-98,6593.49
8-Apr-98,6569.11
9-Apr-98,6553.34
14-Apr-98,6667.57
15-Apr-98,6823.39
16-Apr-98,6804.27
17-Apr-98,6773.68
20-Apr-98,6950.52
21-Apr-98,6819.56
22-Apr-98,6804.27
23-Apr-98,6759.82
24-Apr-98,6734.49
28-Apr-98,6658.49
29-Apr-98,6730.66
30-Apr-98,6809.05
4-May-98,6842.51
5-May-98,6684.30
6-May-98,6701.98
7-May-98,6640.81
8-May-98,6652.28
11-May-98,6709.15
12-May-98,6493.11
13-May-98,6520.36
14-May-98,6487.86
15-May-98,6523.23
18-May-98,6525.14
19-May-98,6585.36
20-May-98,6520.36
21-May-98,6528.48
22-May-98,6502.20
25-May-98,6371.71
26-May-98,6266.56
27-May-98,5950.63
28-May-98,5988.39
29-May-98,6103.10
31-May-98,6103.10
1-Jun-98,5999.38
2-Jun-98,6058.65
3-Jun-98,6059.60
4-Jun-98,5985.04
5-Jun-98,5939.63
8-Jun-98,5902.83
9-Jun-98,5842.61
10-Jun-98,5631.83
11-Jun-98,5584.99
12-Jun-98,5433.95
15-Jun-98,5286.26
17-Jun-98,5584.99
18-Jun-98,5612.71
19-Jun-98,5512.81
22-Jun-98,5294.39
23-Jun-98,5438.73
24-Jun-98,5611.27
25-Jun-98,5597.41
26-Jun-98,5538.15
29-Jun-98,5433.00
30-Jun-98,5401.45
1-Jul-98,5484.14
2-Jul-98,5611.75
3-Jul-98,5694.92
6-Jul-98,5817.28
7-Jul-98,5920.52
8-Jul-98,5907.13
9-Jul-98,5850.73
10-Jul-98,5822.06
13-Jul-98,5774.26
14-Jul-98,5842.13
15-Jul-98,5976.92
16-Jul-98,6065.34
17-Jul-98,6104.05
20-Jul-98,5986.00
21-Jul-98,5931.03
22-Jul-98,5869.85
23-Jul-98,5797.68
24-Jul-98,5678.67
27-Jul-98,5576.86
28-Jul-98,5566.35
29-Jul-98,5615.58
30-Jul-98,5747.97
31-Jul-98,5729.81
3-Aug-98,5603.15
4-Aug-98,5649.03
5-Aug-98,5468.36
6-Aug-98,5385.20
7-Aug-98,5311.11
11-Aug-98,5013.34
12-Aug-98,5055.88
13-Aug-98,4902.94
14-Aug-98,5002.35
17-Aug-98,4903.89
18-Aug-98,5010.95
19-Aug-98,5131.88
20-Aug-98,5066.40
21-Aug-98,4795.87
24-Aug-98,4717.49
25-Aug-98,4706.97
26-Aug-98,4391.99
27-Aug-98,4223.75
28-Aug-98,4093.75
31-Aug-98,4079.41
1-Sep-98,4051.68
2-Sep-98,4144.41
3-Sep-98,4046.91
4-Sep-98,4075.58
7-Sep-98,4204.15
8-Sep-98,4329.38
9-Sep-98,4242.39
10-Sep-98,4128.16
11-Sep-98,3990.51
14-Sep-98,4093.75
15-Sep-98,4166.87
16-Sep-98,4329.38
17-Sep-98,4168.79
18-Sep-98,4137.24
21-Sep-98,4017.27
22-Sep-98,4209.89
23-Sep-98,4366.66
25-Sep-98,4401.07
28-Sep-98,4549.72
29-Sep-98,4400.60
30-Sep-98,4284.93
1-Oct-98,4103.78
2-Oct-98,4152.53
5-Oct-98,4218.02
6-Oct-98,4328.42
7-Oct-98,4293.53
8-Oct-98,4136.28
9-Oct-98,4201.29
12-Oct-98,4361.40
13-Oct-98,4344.68
14-Oct-98,4425.93
15-Oct-98,4494.28
16-Oct-98,4766.72
19-Oct-98,4672.56
20-Oct-98,4827.42
21-Oct-98,4774.84
22-Oct-98,4738.04
23-Oct-98,4694.07
26-Oct-98,4713.18
27-Oct-98,4830.76
28-Oct-98,4793.00
29-Oct-98,4821.68
30-Oct-98,4904.85
31-Oct-98,4904.85
2-Nov-98,5034.37
3-Nov-98,5030.55
4-Nov-98,5140.48
5-Nov-98,5080.74
6-Nov-98,5062.57
9-Nov-98,4957.42
10-Nov-98,4854.18
11-Nov-98,4895.29
12-Nov-98,4809.25
13-Nov-98,4807.82
16-Nov-98,4822.64
17-Nov-98,4808.78
